"","disorder","sex","age","CIF","CIF_lb","CIF_ub","IR","IR_lb","IR_ub","disorder_group","disorder_full"
"82","SU","F",50,2.96,2.94,2.98,7.56,7.33,7.79,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"83","SU","F",50.5,2.99,2.97,3.01,7.5,7.27,7.74,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"84","SU","F",51,3.03,3.01,3.05,7.43,7.19,7.68,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"85","SU","F",51.5,3.06,3.04,3.08,7.34,7.09,7.59,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"86","SU","F",52,3.09,3.07,3.11,7.22,6.98,7.47,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"87","SU","F",52.5,3.12,3.1,3.14,7.09,6.85,7.34,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"88","SU","F",53,3.16,3.14,3.18,6.94,6.71,7.18,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"89","SU","F",53.5,3.18,3.16,3.21,6.77,6.56,7,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"90","SU","F",54,3.22,3.2,3.24,6.6,6.39,6.81,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"91","SU","F",54.5,3.25,3.23,3.27,6.42,6.22,6.62,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"92","SU","F",55,3.27,3.25,3.3,6.23,6.04,6.42,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"93","SU","F",55.5,3.3,3.28,3.32,6.04,5.86,6.22,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"94","SU","F",56,3.33,3.31,3.35,5.85,5.68,6.03,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"95","SU","F",56.5,3.36,3.33,3.38,5.67,5.5,5.84,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"96","SU","F",57,3.38,3.36,3.4,5.49,5.32,5.66,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"97","SU","F",57.5,3.4,3.38,3.42,5.31,5.15,5.48,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"98","SU","F",58,3.43,3.41,3.45,5.15,4.98,5.32,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"99","SU","F",58.5,3.45,3.43,3.47,4.99,4.82,5.17,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"100","SU","F",59,3.47,3.45,3.49,4.84,4.67,5.02,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"101","SU","F",59.5,3.5,3.47,3.52,4.71,4.54,4.89,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"102","SU","F",60,3.52,3.5,3.54,4.59,4.41,4.77,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"103","SU","F",60.5,3.54,3.52,3.56,4.48,4.31,4.65,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"104","SU","F",61,3.56,3.54,3.59,4.38,4.21,4.55,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"105","SU","F",61.5,3.58,3.56,3.6,4.29,4.12,4.46,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"106","SU","F",62,3.6,3.58,3.62,4.21,4.05,4.38,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"107","SU","F",62.5,3.62,3.6,3.65,4.14,3.98,4.3,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"108","SU","F",63,3.64,3.62,3.67,4.07,3.93,4.23,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"109","SU","F",63.5,3.66,3.64,3.69,4.02,3.87,4.16,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"110","SU","F",64,3.68,3.66,3.71,3.96,3.83,4.11,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"111","SU","F",64.5,3.7,3.68,3.72,3.92,3.79,4.05,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"112","SU","F",65,3.72,3.7,3.74,3.87,3.75,4,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"113","SU","F",65.5,3.74,3.71,3.76,3.83,3.71,3.96,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"114","SU","F",66,3.75,3.73,3.78,3.8,3.68,3.92,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"115","SU","F",66.5,3.77,3.75,3.79,3.76,3.64,3.89,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"116","SU","F",67,3.78,3.76,3.81,3.73,3.6,3.86,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"117","SU","F",67.5,3.8,3.78,3.82,3.7,3.57,3.84,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"118","SU","F",68,3.82,3.79,3.84,3.67,3.53,3.81,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"119","SU","F",68.5,3.83,3.81,3.85,3.64,3.49,3.79,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"120","SU","F",69,3.85,3.82,3.87,3.61,3.45,3.77,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"121","SU","F",69.5,3.86,3.84,3.88,3.58,3.42,3.75,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"122","SU","F",70,3.87,3.85,3.9,3.55,3.38,3.74,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"123","SU","F",70.5,3.89,3.87,3.91,3.52,3.34,3.72,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"124","SU","F",71,3.91,3.88,3.93,3.49,3.3,3.7,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"125","SU","F",71.5,3.92,3.9,3.94,3.47,3.26,3.69,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"126","SU","F",72,3.94,3.91,3.96,3.44,3.22,3.67,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"127","SU","F",72.5,3.95,3.92,3.97,3.41,3.18,3.66,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"128","SU","F",73,3.96,3.94,3.98,3.38,3.14,3.64,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"129","SU","F",73.5,3.97,3.95,3.99,3.35,3.1,3.63,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"130","SU","F",74,3.98,3.96,4,3.33,3.06,3.61,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"131","SU","F",74.5,3.99,3.97,4.02,3.3,3.02,3.6,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"132","SU","F",75,4.01,3.98,4.03,3.27,2.99,3.59,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"133","SU","F",75.5,4.02,4,4.05,3.25,2.95,3.57,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"134","SU","F",76,4.04,4.01,4.06,3.22,2.91,3.56,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"135","SU","F",76.5,4.04,4.02,4.07,3.19,2.87,3.55,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"136","SU","F",77,4.06,4.03,4.08,3.17,2.84,3.53,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"137","SU","F",77.5,4.07,4.04,4.09,3.14,2.8,3.52,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"138","SU","F",78,4.07,4.05,4.1,3.12,2.77,3.51,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"139","SU","F",78.5,4.08,4.06,4.11,3.09,2.73,3.49,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"140","SU","F",79,4.09,4.07,4.11,3.07,2.7,3.48,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"141","SU","F",79.5,4.1,4.08,4.12,3.04,2.66,3.47,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"142","SU","F",80,4.11,4.09,4.14,3.02,2.63,3.46,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"143","SU","M",0,0,0,0,0,0,0,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"144","SU","M",10,0,0,0,0.96,0.88,1.04,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"145","SU","M",10.5,0,0,0,1.19,1.11,1.29,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"146","SU","M",11,0,0,0,1.49,1.39,1.6,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"147","SU","M",11.5,0,0,0,1.86,1.74,1.98,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"148","SU","M",12,0,0,0,2.31,2.18,2.46,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"149","SU","M",12.5,0,0,0,2.89,2.73,3.05,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"150","SU","M",13,0,0,0,3.59,3.42,3.77,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"151","SU","M",13.5,0,0,0.01,4.46,4.27,4.66,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"152","SU","M",14,0.01,0.01,0.01,5.52,5.3,5.74,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"153","SU","M",14.5,0.02,0.02,0.03,6.79,6.55,7.03,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"154","SU","M",15,0.04,0.04,0.05,8.3,8.04,8.56,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"155","SU","M",15.5,0.08,0.08,0.08,10.06,9.78,10.35,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"156","SU","M",16,0.13,0.12,0.13,12.08,11.78,12.39,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"157","SU","M",16.5,0.19,0.18,0.19,14.37,14.04,14.7,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"158","SU","M",17,0.27,0.26,0.27,16.88,16.52,17.24,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"159","SU","M",17.5,0.36,0.35,0.37,19.57,19.18,19.97,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"160","SU","M",18,0.48,0.47,0.48,22.37,21.94,22.82,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"161","SU","M",18.5,0.6,0.59,0.6,25.17,24.68,25.66,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"162","SU","M",19,0.73,0.72,0.74,27.83,27.3,28.38,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"163","SU","M",19.5,0.88,0.87,0.89,30.22,29.64,30.8,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"164","SU","M",20,1.02,1.01,1.03,32.17,31.56,32.79,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"165","SU","M",20.5,1.17,1.16,1.18,33.55,32.93,34.18,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"166","SU","M",21,1.32,1.31,1.34,34.32,33.71,34.95,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"167","SU","M",21.5,1.47,1.46,1.49,34.51,33.92,35.12,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"168","SU","M",22,1.62,1.61,1.64,34.18,33.61,34.76,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"169","SU","M",22.5,1.77,1.75,1.78,33.39,32.85,33.94,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"170","SU","M",23,1.9,1.88,1.92,32.24,31.73,32.76,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"171","SU","M",23.5,2.05,2.03,2.06,30.83,30.34,31.33,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"172","SU","M",24,2.18,2.16,2.19,29.26,28.78,29.74,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"173","SU","M",24.5,2.3,2.29,2.32,27.59,27.12,28.07,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"174","SU","M",25,2.42,2.41,2.44,25.92,25.45,26.4,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"175","SU","M",25.5,2.55,2.53,2.57,24.29,23.83,24.77,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"176","SU","M",26,2.67,2.65,2.68,22.76,22.3,23.23,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"177","SU","M",26.5,2.78,2.76,2.8,21.36,20.91,21.83,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"178","SU","M",27,2.89,2.87,2.91,20.12,19.67,20.58,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"179","SU","M",27.5,3.01,2.99,3.03,19.05,18.61,19.49,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"180","SU","M",28,3.11,3.09,3.13,18.17,17.75,18.6,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"181","SU","M",28.5,3.21,3.19,3.23,17.48,17.07,17.89,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"182","SU","M",29,3.31,3.28,3.33,16.95,16.57,17.34,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"183","SU","M",29.5,3.4,3.37,3.42,16.57,16.2,16.94,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"184","SU","M",30,3.48,3.46,3.51,16.3,15.95,16.65,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"185","SU","M",30.5,3.58,3.55,3.6,16.13,15.79,16.47,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"186","SU","M",31,3.66,3.64,3.68,16.04,15.71,16.37,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"187","SU","M",31.5,3.75,3.73,3.77,16.01,15.69,16.34,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"188","SU","M",32,3.83,3.81,3.85,16.04,15.72,16.37,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"189","SU","M",32.5,3.92,3.89,3.94,16.12,15.79,16.45,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"190","SU","M",33,4,3.97,4.02,16.22,15.88,16.56,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"191","SU","M",33.5,4.08,4.05,4.1,16.33,15.97,16.69,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"192","SU","M",34,4.15,4.13,4.17,16.44,16.07,16.82,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"193","SU","M",34.5,4.22,4.2,4.24,16.55,16.16,16.94,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"194","SU","M",35,4.29,4.27,4.31,16.62,16.22,17.03,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"195","SU","M",35.5,4.36,4.33,4.38,16.66,16.25,17.07,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"196","SU","M",36,4.43,4.41,4.45,16.64,16.23,17.05,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"197","SU","M",36.5,4.5,4.48,4.53,16.55,16.15,16.96,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"198","SU","M",37,4.57,4.54,4.59,16.41,16.02,16.8,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"199","SU","M",37.5,4.63,4.61,4.66,16.21,15.84,16.59,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"200","SU","M",38,4.7,4.67,4.72,15.98,15.63,16.34,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"201","SU","M",38.5,4.77,4.74,4.79,15.71,15.38,16.05,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"202","SU","M",39,4.84,4.81,4.86,15.42,15.11,15.74,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"203","SU","M",39.5,4.9,4.87,4.92,15.12,14.82,15.42,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"204","SU","M",40,4.96,4.94,4.99,14.81,14.52,15.11,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"205","SU","M",40.5,5.02,5,5.05,14.5,14.22,14.8,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"206","SU","M",41,5.09,5.07,5.12,14.2,13.91,14.5,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"207","SU","M",41.5,5.16,5.13,5.18,13.92,13.62,14.22,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"208","SU","M",42,5.22,5.19,5.24,13.66,13.35,13.96,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"209","SU","M",42.5,5.27,5.25,5.3,13.42,13.11,13.73,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"210","SU","M",43,5.34,5.31,5.36,13.21,12.9,13.53,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"211","SU","M",43.5,5.39,5.37,5.42,13.04,12.72,13.36,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"212","SU","M",44,5.45,5.42,5.48,12.91,12.59,13.23,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"213","SU","M",44.5,5.51,5.49,5.54,12.82,12.51,13.14,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"214","SU","M",45,5.57,5.54,5.6,12.77,12.46,13.08,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"215","SU","M",45.5,5.62,5.6,5.65,12.75,12.45,13.06,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
